n2-vocab_reading-0302|遭う|遭った|彼は子供の頃よく災難に《遭った》ものだ。
n2-vocab_reading-0307|挙げる|挙げて|彼は具体例を《挙げて》わかりやすく説明した。
n2-vocab_reading-0308|憧れる|憧れて|彼女は子供の頃から芸術家に《憧れて》いた。
n2-vocab_reading-0315|暴れる|暴れて|酔っ払った男が駅前で《暴れて》いて、警察が駆けつけた。
n2-vocab_reading-0325|著す|著した|彼は若い頃に多くの小説を《著した》ことで知られている。
n2-vocab_reading-0329|言い出す|言い出した|彼が突然その話を《言い出した》ので、みんな驚いた。
n2-vocab_reading-0351|威張る|威張って|彼は後輩の前でいつも《威張って》いるから嫌われる。
n2-vocab_reading-0358|飢える|飢えた|長い冬の間、人々は食べ物に《飢えた》。
n2-vocab_reading-0360|浮かべる|浮かべた|彼女は満足そうな笑みを口元に《浮かべた》。
n2-vocab_reading-0362|承る|承りました|お客様からのご要望を確かに《承りました》。
n2-vocab_reading-0366|薄める|薄めて|この洗剤は水で《薄めて》から使ってください。
n2-vocab_reading-0371|写る|写って|この写真には遠くの山がきれいに《写って》いる。
n2-vocab_reading-0372|映る|映った|彼女の姿が窓ガラスに《映った》。
n2-vocab_reading-0376|裏返す|裏返して|布団を乾かすために、《裏返して》干した。
n2-vocab_reading-0385|売り切れる|売り切れた|新発売のゲームソフトはすぐに《売り切れた》。
n2-vocab_reading-0398|怠る|怠ると|安全確認を《怠ると》、大事故につながる恐れがある。
n2-vocab_reading-0404|教わる|教わった|彼から多くのことを《教わった》。
n2-vocab_reading-0409|驚かす|驚かした|後ろから大声を出して彼を《驚かした》。
n2-vocab_reading-0414|思い込む|思い込んでいる|彼は自分が正しいと《思い込んでいる》。
n2-vocab_reading-0416|思い付く|思い付いた|解決策をすぐに《思い付いた》。
n2-vocab_reading-0473|片付く|片付|机の上がやっと《片付》いた。
n2-vocab_reading-0476|片寄る|片寄|栄養が《片寄》らないようにバランスよく食べよう。
n2-vocab_reading-0488|兼ねる|兼ね|このカフェは喫茶店と本屋を《兼ね》ている。
n2-vocab_reading-0490|被せる|被せ|料理に蓋を《被せ》てしばらく蒸らした。
n2-vocab_reading-0557|崩れる|崩れ|地震の揺れで棚の上の本が《崩れ》て、足の上に落ちてきた。
n2-vocab_reading-0558|砕く|砕い|氷を《砕い》て冷たい飲み物に入れると、すぐに冷えて美味しい。
n2-vocab_reading-0559|砕ける|砕け|窓ガラスに石が当たって、ひび割れから粉々に《砕け》た。
n2-vocab_reading-0560|下る|下|船で川を《下》って三日目に目的地に着いた。
n2-vocab_reading-0562|配る|配|先生が教室でテスト用紙を一人ずつ《配》った。
n2-vocab_reading-0566|組み立てる|組み立て|日曜日に子供と一緒に本棚を《組み立て》た。
n2-vocab_reading-0567|酌む|酌|相手の事情も《酌》んであげなければならない。
n2-vocab_reading-0569|悔やむ|悔や|彼はあの時もっと早く決断しなかったことを《悔や》んでいる。
n2-vocab_reading-0570|咥える|咥|彼はタバコを《咥》えたまま人と話すのが癖だ。
n2-vocab_reading-0587|削る|削|彼はナイフで鉛筆を丁寧に《削》った。
n2-vocab_reading-0636|焦がす|焦がし|トーストを《焦がし》てしまい、台所中に煙が充満した。
n2-vocab_reading-0639|焦げる|焦げ|ケーキが《焦げ》ないようにオーブンの温度に注意した。
n2-vocab_reading-0648|言付ける|言付けて|彼に「また後で連絡する」と《言付けて》いただけませんか。
n2-vocab_reading-0651|零れる|零れた|涙が彼女の頬を伝って静かに《零れた》。
n2-vocab_reading-0656|転がす|転がし|子供がボールを楽しそうに《転がし》て遊んでいる。
n2-vocab_reading-0657|転がる|転がっ|ボールが坂道を勢いよく《転がっ》ていった。
n2-vocab_reading-0667|捜す|捜して|財布を落としたので、あちこち《捜して》いる。
n2-vocab_reading-0677|囁く|囁いた|彼女は彼の耳元で何かを《囁いた》。
n2-vocab_reading-0678|刺さる|刺さっ|指にとげが《刺さっ》て痛い。
n2-vocab_reading-0681|差し引き|差し引い|収入から支出を《差し引い》た残りが今月の貯金だ。
n2-vocab_reading-0683|刺す|刺さ|蜂に《刺さ》れないように注意してください。
n2-vocab_reading-0684|注す|注し|彼女は花瓶に水を《注し》て生花を生けた。
n2-vocab_reading-0685|射す|射し|朝日が窓から部屋に優しく《射し》込んでいる。
n2-vocab_reading-0693|冷める|冷め|スープが《冷め》ないうちに早く食べてください。
n2-vocab_reading-0697|騒がしい|騒がしく|工事現場の近くは一日中《騒がしく》て、勉強に集中できない。
